"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"17","B cell differentiation (GO:0030183)","2/52",0.0179806467398737,0.237245863984792,0,0,10.3225974025974,41.480937332633,"FLT3;CEBPG","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"18","response to light stimulus (GO:0009416)","2/58",0.02207697630845,0.237245863984792,0,0,9.21382189239332,35.1343300040693,"UVSSA;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"19","glomerulus vasculature development (GO:0072012)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"20","gap junction assembly (GO:0016264)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"GJA1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"21","nucleoside phosphate catabolic process (GO:1901292)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"22","positive regulation of cardiac muscle contraction (GO:0060452)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"23","negative regulation of cellular response to hypoxia (GO:1900038)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"24","regulation of phagocytosis, engulfment (GO:0060099)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"25","peptidyl-proline hydroxylation (GO:0019511)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"EGLN3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"26","positive regulation of podosome assembly (GO:0071803)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"LCP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"27","plasma membrane fusion (GO:0045026)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"VASH2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"28","lymphoid progenitor cell differentiation (GO:0002320)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"FLT3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"29","lipoprotein catabolic process (GO:0042159)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"NOTUM","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"30","positive regulation of protein localization to centrosome (GO:1904781)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"CEP250","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"31","negative regulation of glycogen biosynthetic process (GO:0045719)","1/6",0.0234699318624761,0.237245863984792,0,0,51.0666666666667,191.603929465387,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"32","DNA repair (GO:0006281)","4/288",0.0272642121322507,0.237245863984792,0,0,3.68769953051643,13.2837587770236,"GTF2H2C;PARP2;HUS1;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"33","regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"34","negative regulation of nitric oxide biosynthetic process (GO:0045019)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"35","regulation of high voltage-gated calcium channel activity (GO:1901841)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"36","regulation of collateral sprouting (GO:0048670)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"37","alditol metabolic process (GO:0019400)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"COQ2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"38","cellular divalent inorganic anion homeostasis (GO:0072501)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"39","bleb assembly (GO:0032060)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"40","negative regulation of nitric oxide metabolic process (GO:1904406)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"41","positive regulation of transmembrane transport (GO:0034764)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"42","flavin-containing compound metabolic process (GO:0042726)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"43","cellular trivalent inorganic anion homeostasis (GO:0072502)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"44","regulation of protein localization to centrosome (GO:1904779)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"CEP250","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"45","regulation of extracellular matrix organization (GO:1903053)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"FAP","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"46","positive regulation of striated muscle contraction (GO:0045989)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"47","riboflavin metabolic process (GO:0006771)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"48","cellular phosphate ion homeostasis (GO:0030643)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"49","negative regulation of glycogen metabolic process (GO:0070874)","1/7",0.0273283691119178,0.237245863984792,0,0,42.5534188034188,153.185071685023,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"50","ion transport (GO:0006811)","4/289",0.0275662519812986,0.237245863984792,0,0,3.6745730994152,13.1959909875082,"GJA1;ANO6;SLC26A4;GABRG3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"51","purine ribonucleotide metabolic process (GO:0009150)","2/66",0.0280749577018175,0.237245863984792,0,0,8.0588474025974,28.7932728278004,"GMPR2;ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"52","regulation of cardiac conduction (GO:1903779)","2/67",0.0288659052638407,0.237245863984792,0,0,7.93446553446553,28.1284271827568,"NPPA;ITPR2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"53","positive regulation of vasculogenesis (GO:2001214)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"54","desensitization of G-protein coupled receptor protein signaling pathway (GO:0002029)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"55","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"56","atrial cardiac muscle cell to AV node cell signaling (GO:0086026)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"GJA1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"57","4-hydroxyproline metabolic process (GO:0019471)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"EGLN3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"58","phospholipid scrambling (GO:0017121)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"59","peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"PRMT9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"60","lagging strand elongation (GO:0006273)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"PARP2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"61","positive regulation of transforming growth factor beta production (GO:0071636)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"62","lung epithelium development (GO:0060428)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"ERRFI1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"63","actin filament network formation (GO:0051639)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"LCP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"64","negative regulation of glucose import (GO:0046325)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"65","angiogenesis involved in wound healing (GO:0060055)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"66","tRNA aminoacylation for mitochondrial protein translation (GO:0070127)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"EARS2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"67","cellular monovalent inorganic anion homeostasis (GO:0030320)","1/8",0.0311717543722391,0.237245863984792,0,0,36.4725274725275,126.495584553337,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"68","recombinational repair (GO:0000725)","2/71",0.0321177163290387,0.237245863984792,0,0,7.4729907773386,25.6947390860222,"MCM9;HUS1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"69","regulation of neuron death (GO:1901214)","2/72",0.0329522749978186,0.237245863984792,0,0,7.36586270871985,25.1374426634688,"EGLN3;CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"70","positive regulation of apoptotic process (GO:0043065)","4/307",0.0333480826835523,0.237245863984792,0,0,3.45311331133113,11.7431923556961,"FAP;ANO6;NGF;VAV1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"71","B cell activation (GO:0042113)","2/73",0.033795317979728,0.237245863984792,0,0,7.26175233217487,24.5986995415582,"FLT3;CEBPG","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"72","nucleic acid phosphodiester bond hydrolysis (GO:0090305)","2/73",0.033795317979728,0.237245863984792,0,0,7.26175233217487,24.5986995415582,"ENPP1;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"73","transcription-coupled nucleotide-excision repair (GO:0006283)","2/73",0.033795317979728,0.237245863984792,0,0,7.26175233217487,24.5986995415582,"UVSSA;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"74","lymphocyte differentiation (GO:0030098)","2/73",0.033795317979728,0.237245863984792,0,0,7.26175233217487,24.5986995415582,"FLT3;CEBPG","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"75","peptidyl-arginine omega-N-methylation (GO:0035247)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"PRMT9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"76","peptidyl-arginine methylation (GO:0018216)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"PRMT9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"77","response to muscle stretch (GO:0035994)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"78","mitotic DNA replication checkpoint (GO:0033314)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"HUS1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"79","positive regulation of voltage-gated potassium channel activity (GO:1903818)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"80","actin crosslink formation (GO:0051764)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"LCP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"81","toll-like receptor 3 signaling pathway (GO:0034138)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"UNC93B1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"82","neurotrophin TRK receptor signaling pathway (GO:0048011)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"83","positive regulation of ion transmembrane transport (GO:0034767)","1/9",0.035000145391706,0.237245863984792,0,0,31.911858974359,106.981413786109,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"84","gland development (GO:0048732)","2/75",0.0355065446038959,0.237245863984792,0,0,7.06208859633517,23.5735218202804,"WNT10A;CEBPG","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"85","double-strand break repair via homologous recombination (GO:0000724)","2/76",0.0363745732727702,0.237245863984792,0,0,6.96630396630397,23.08553220402,"MCM9;HUS1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"86","hemopoiesis (GO:0030097)","2/76",0.0363745732727702,0.237245863984792,0,0,6.96630396630397,23.08553220402,"FLT3;CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"87","regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)","2/78",0.038135077406109,0.237245863984792,0,0,6.7822966507177,22.155190996145,"EGLN3;PSME1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"88","glomerular filtration (GO:0003094)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"89","endothelium development (GO:0003158)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"90","protein kinase A signaling (GO:0010737)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"LCP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"91","regulation of pH (GO:0006885)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"SLC26A4","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"92","positive regulation of execution phase of apoptosis (GO:1900119)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"FAP","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"93","regulation of podosome assembly (GO:0071801)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"LCP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"94","chloride ion homeostasis (GO:0055064)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"SLC12A9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"95","oxalate transport (GO:0019532)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"SLC26A4","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"96","receptor guanylyl cyclase signaling pathway (GO:0007168)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"97","nerve growth factor signaling pathway (GO:0038180)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"98","regulation of transforming growth factor beta production (GO:0071634)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"99","thyroid hormone generation (GO:0006590)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"DIO3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"100","negative regulation of glucose transport (GO:0010829)","1/10",0.0388135997677024,0.237245863984792,0,0,28.3646723646724,92.1563832512611,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"101","activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)","2/79",0.0390274006875952,0.237245863984792,0,0,6.69387755102041,21.7115335853691,"EGLN3;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"102","positive regulation of binding (GO:0051099)","2/81",0.0408358127118396,0.237245863984792,0,0,6.52375472628637,20.8642450965439,"CEBPG;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"103","cellular response to DNA damage stimulus (GO:0006974)","4/329",0.0413115766116762,0.237245863984792,0,0,3.21575384615385,10.2473614446434,"IRF3;PARP2;MCM9;HUS1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"104","positive regulation of endothelial cell apoptotic process (GO:2000353)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"105","sulfate transmembrane transport (GO:1902358)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"SLC26A4","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"106","phosphate ion homeostasis (GO:0055062)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"107","renal filtration (GO:0097205)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"108","glycerol metabolic process (GO:0006071)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"COQ2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"109","synaptic transmission, GABAergic (GO:0051932)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"GABRG3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"110","positive regulation of interferon-gamma biosynthetic process (GO:0045078)","1/11",0.0426121749090393,0.237245863984792,0,0,25.5269230769231,80.5531482717413,"CEBPG","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"111","negative regulation of neuron death (GO:1901215)","2/83",0.0426754146532484,0.237245863984792,0,0,6.3620330286997,20.0666938301145,"NGF;CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"112","regulation of vasculogenesis (GO:2001212)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"113","DNA ligation involved in DNA repair (GO:0051103)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"PARP2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"114","positive regulation of peptidase activity (GO:0010952)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"PSME1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"115","histone arginine methylation (GO:0034969)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"PRMT9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"116","regulation of catabolic process (GO:0009894)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"FAP","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"117","protein hydroxylation (GO:0018126)","1/12",0.0463959280371104,0.237245863984792,0,0,23.2051282051282,71.2523574663256,"EGLN3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"118","positive regulation of protein complex assembly (GO:0031334)","2/88",0.0474070179935173,0.237245863984792,0,0,5.99063726970704,18.2653631895908,"LCP1;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"119","regulation of neuron apoptotic process (GO:0043523)","2/89",0.0483754909410723,0.237245863984792,0,0,5.92148081803254,17.9347559612185,"EGLN3;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"120","regulation of Ras protein signal transduction (GO:0046578)","2/90",0.0493511814517428,0.237245863984792,0,0,5.8538961038961,17.6131649751792,"RASA2;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"121","negative regulation of reactive oxygen species biosynthetic process (GO:1903427)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"122","negative regulation of hemostasis (GO:1900047)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"123","atrial cardiac muscle cell action potential (GO:0086014)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"GJA1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"124","leukocyte differentiation (GO:0002521)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"FLT3","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"125","regulation of fibrinolysis (GO:0051917)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"FAP","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"126","mitotic DNA integrity checkpoint (GO:0044774)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"HUS1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"127","toll-like receptor 9 signaling pathway (GO:0034162)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"UNC93B1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"128","regulation of execution phase of apoptosis (GO:1900117)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"FAP","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"129","negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"ERRFI1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"130","regulation of biomineral tissue development (GO:0070167)","1/13",0.0501649161718136,0.237245863984792,0,0,21.2702991452991,63.6500807368994,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"131","regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)","2/93",0.0523208555180039,0.237245863984792,0,0,5.6600542314828,16.6991988494382,"EGLN3;PSME1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"132","skin development (GO:0043588)","2/94",0.053324715594612,0.237245863984792,0,0,5.59824957651045,16.4104588359531,"ERRFI1;WNT10A","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"133","nucleoside triphosphate metabolic process (GO:0009141)","1/14",0.053919196130249,0.237245863984792,0,0,19.6331360946746,57.3340332334518,"ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"134","cell communication by electrical coupling involved in cardiac conduction (GO:0086064)","1/14",0.053919196130249,0.237245863984792,0,0,19.6331360946746,57.3340332334518,"GJA1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"135","positive regulation of heart rate (GO:0010460)","1/14",0.053919196130249,0.237245863984792,0,0,19.6331360946746,57.3340332334518,"NPPA","All","GO_Biological_Process_2018","eGFPc_eGFPs"
